,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,latitude,longitude,number_of_baths,shared_bath,Unnamed: 0,check_in_24h,air_conditioning,high_end_electronics,bbq,balcony,nature_and_views,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,gym,child_friendly,parking,outdoor_space,host_greeting,hot_tub_sauna_or_pool,internet,long_term_stays,pets_allowed,private_entrance,secure,self_check_in,smoking_allowed,accessible,event_suitable,netflix,fireplace,cable_tv,luggage_dropof_allowed
2256,within an hour,100.0,100.0,f,t,ΝΕΑ ΚΥΨΕΛΗ,Entire home/apt,4,2.0,2.0,32.0,2,1125,t,20,96.0,10.0,8.0,10.0,10.0,9.0,10.0,t,0.48,38.00039,23.74333,1.0,False,2256,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2257,within an hour,100.0,95.0,t,t,ΝΕΟΣ ΚΟΣΜΟΣ,Entire home/apt,4,1.0,2.0,47.0,3,1125,t,61,96.0,10.0,10.0,10.0,10.0,9.0,10.0,t,1.59,37.95949,23.73627,1.0,False,2257,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2258,,,100.0,f,f,ΓΚΑΖΙ,Entire home/apt,4,1.0,2.0,59.0,1,1125,t,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,0.03,37.97761,23.70913,1.0,False,2258,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2259,,,100.0,f,f,ΓΚΑΖΙ,Entire home/apt,4,1.0,2.0,60.0,1,1125,t,0,,,,,,,,t,,37.97851,23.71087,1.0,False,2259,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2260,within an hour,89.0,99.0,f,t,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,6,2.0,5.0,34.0,1,360,t,35,91.0,9.0,10.0,9.0,10.0,9.0,9.0,t,0.91,37.9901,23.7644,1.0,False,2260,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2261,,,100.0,f,f,ΒΟΤΑΝΙΚΟΣ,Entire home/apt,4,1.0,2.0,60.0,1,1125,t,0,,,,,,,,t,,37.97878,23.70894,1.0,False,2261,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2262,within an hour,100.0,94.0,t,t,ΠΑΓΚΡΑΤΙ,Entire home/apt,4,1.0,2.0,39.0,2,1125,t,0,,,,,,,,t,,37.97154,23.74733,1.0,False,2262,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2263,,,100.0,f,f,ΓΚΑΖΙ,Entire home/apt,4,1.0,2.0,60.0,1,1125,t,0,,,,,,,,t,,37.97667,23.70979,1.0,False,2263,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2264,,,100.0,f,f,ΓΚΑΖΙ,Entire home/apt,4,1.0,2.0,59.0,1,1125,t,0,,,,,,,,t,,37.9781,23.70941,1.0,False,2264,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2265,,,100.0,f,f,ΓΚΑΖΙ,Entire home/apt,4,1.0,2.0,60.0,1,1125,t,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,0.05,37.97649,23.70979,1.0,False,2265,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2266,,,100.0,f,f,ΓΚΑΖΙ,Entire home/apt,4,1.0,2.0,60.0,1,1125,t,0,,,,,,,,t,,37.97669,23.70922,1.0,False,2266,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2267,,,100.0,f,f,ΓΚΑΖΙ,Entire home/apt,4,1.0,1.0,60.0,1,1125,t,0,,,,,,,,t,,37.97808,23.70919,1.0,False,2267,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2268,within an hour,99.0,99.0,f,t,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,4,1.0,2.0,40.0,1,28,t,110,93.0,9.0,9.0,9.0,9.0,10.0,9.0,t,2.62,37.98219,23.71615,1.0,False,2268,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2269,within an hour,100.0,94.0,t,t,ΠΑΓΚΡΑΤΙ,Entire home/apt,6,2.0,3.0,49.0,2,1125,t,24,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,0.57,37.96724,23.74678,1.0,False,2269,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2270,,,100.0,f,t,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,5,2.0,3.0,50.0,2,60,t,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,0.05,37.98535,23.76046,1.0,False,2270,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2271,within a few hours,100.0,100.0,t,f,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,3,1.0,1.0,35.0,3,1125,t,119,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,3.29,37.98731,23.74388,1.0,False,2271,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2272,within an hour,89.0,99.0,f,t,ΚΟΛΩΝΑΚΙ,Entire home/apt,7,3.0,5.0,67.0,1,360,t,18,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,0.49,37.97826,23.73939,1.5,False,2272,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2273,within a few hours,100.0,100.0,f,t,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Private room,2,1.0,1.0,20.0,1,30,t,192,93.0,10.0,9.0,10.0,10.0,9.0,9.0,f,4.54,37.99269,23.72503,1.0,True,2273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2274,,,100.0,f,f,ΚΟΛΩΝΑΚΙ,Entire home/apt,4,2.0,2.0,200.0,1,100,t,8,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,0.21,37.97898,23.74301,1.5,False,2274,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2275,within an hour,100.0,99.0,t,t,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,5,2.0,2.0,55.0,1,28,t,116,95.0,10.0,10.0,10.0,10.0,9.0,10.0,t,2.81,37.98877,23.72981,1.0,False,2275,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2276,within an hour,100.0,100.0,t,t,ΕΛΛΗΝΟΡΩΣΩΝ,Entire home/apt,3,1.0,2.0,33.0,2,45,t,128,99.0,10.0,10.0,10.0,10.0,10.0,10.0,t,3.04,37.99468,23.77418,1.0,False,2276,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2277,a few days or more,0.0,,f,f,ΑΝΩ ΠΑΤΗΣΙΑ,Entire home/apt,2,1.0,2.0,55.0,7,60,t,5,96.0,10.0,10.0,10.0,10.0,9.0,10.0,f,0.13,38.0219,23.74061,1.0,False,2277,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2278,,,,f,f,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,5,3.0,5.0,80.0,2,1125,t,0,,,,,,,,t,,37.96413,23.72156,1.0,False,2278,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2279,within an hour,100.0,100.0,t,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,3,1.0,1.0,48.0,2,1125,t,136,99.0,10.0,10.0,10.0,10.0,10.0,10.0,t,3.24,37.97448,23.73016,1.0,False,2279,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2280,,,,f,f,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,2,,1.0,48.0,2,30,t,35,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,0.84,37.98453,23.74037,1.0,False,2280,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2281,,,100.0,f,t,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,4,1.0,1.0,100.0,1,40,f,1,100.0,10.0,8.0,10.0,10.0,10.0,10.0,f,0.03,37.98754,23.74201,1.0,False,2281,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2282,within an hour,100.0,100.0,f,t,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,6,2.0,3.0,56.0,1,309,t,136,91.0,10.0,9.0,9.0,10.0,9.0,9.0,t,3.26,37.99947,23.72202,1.0,False,2282,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2283,within an hour,100.0,100.0,t,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,5,2.0,3.0,72.0,1,1124,t,182,97.0,10.0,10.0,10.0,10.0,10.0,9.0,t,4.35,37.97772,23.72544,1.5,False,2283,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2284,within a few hours,100.0,,f,f,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,6,2.0,6.0,75.0,3,1125,t,4,90.0,10.0,10.0,10.0,10.0,4.0,9.0,t,0.1,37.98772,23.72217,2.0,False,2284,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2285,within an hour,100.0,100.0,t,t,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,4,1.0,2.0,38.0,1,1125,t,56,98.0,10.0,10.0,10.0,10.0,9.0,10.0,t,1.35,37.98789,23.72865,1.0,False,2285,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2286,within an hour,100.0,97.0,t,t,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,3,,2.0,29.0,1,30,t,190,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,4.71,37.98465,23.73622,1.0,False,2286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2287,within an hour,100.0,99.0,t,t,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,6,2.0,3.0,24.0,2,1125,t,165,94.0,10.0,10.0,10.0,10.0,9.0,10.0,t,4.0,37.98369,23.72492,1.0,False,2287,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2288,within a day,100.0,67.0,t,t,ΑΚΡΟΠΟΛΗ,Entire home/apt,4,2.0,3.0,80.0,2,1125,t,17,90.0,9.0,9.0,10.0,9.0,10.0,9.0,f,0.44,37.9716,23.71946,1.5,False,2288,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2289,within an hour,100.0,100.0,t,t,ΑΚΡΟΠΟΛΗ,Entire home/apt,5,2.0,2.0,140.0,2,14,t,38,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,1.08,37.96754,23.7239,2.0,False,2289,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2290,within a day,100.0,100.0,t,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,2,1.0,2.0,26.0,2,1125,t,134,95.0,10.0,9.0,10.0,10.0,10.0,10.0,f,3.26,37.97473,23.72887,1.0,False,2290,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2291,within an hour,100.0,100.0,t,t,ΒΟΤΑΝΙΚΟΣ,Entire home/apt,4,1.0,2.0,66.0,2,30,t,119,99.0,10.0,10.0,10.0,10.0,9.0,10.0,t,2.86,37.98209,23.71101,1.0,False,2291,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2292,within a few hours,100.0,100.0,t,t,ΠΑΤΗΣΙΑ,Entire home/apt,4,2.0,3.0,30.0,2,90,t,22,92.0,10.0,9.0,10.0,10.0,10.0,10.0,t,0.62,38.01492,23.73692,1.0,False,2292,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2293,,,100.0,f,f,ΠΑΓΚΡΑΤΙ,Private room,3,1.0,2.0,17.0,1,1125,t,28,83.0,9.0,8.0,9.0,9.0,9.0,8.0,t,0.67,37.9716,23.74207,1.5,True,2293,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2294,,,100.0,t,t,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,5,2.0,3.0,29.0,1,10,t,110,96.0,10.0,10.0,10.0,10.0,8.0,9.0,f,2.66,37.99931,23.73013,1.5,False,2294,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2295,,,,f,f,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,3,1.0,2.0,30.0,4,1125,t,5,84.0,9.0,8.0,10.0,10.0,8.0,9.0,f,0.15,37.99855,23.72617,1.0,False,2295,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2296,,,,f,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,4,1.0,2.0,60.0,1,1125,t,5,92.0,10.0,10.0,10.0,9.0,8.0,10.0,f,0.12,37.97461,23.72521,1.0,False,2296,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2297,within a few hours,100.0,,f,f,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,2,1.0,1.0,59.0,2,70,t,7,100.0,10.0,10.0,10.0,10.0,9.0,10.0,t,0.17,37.96098,23.72048,1.0,False,2297,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298,within an hour,92.0,87.0,t,t,ΝΙΡΒΑΝΑ,Entire home/apt,3,1.0,1.0,32.0,1,15,t,153,96.0,9.0,10.0,10.0,10.0,9.0,10.0,t,3.71,38.01098,23.72108,1.0,False,2298,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2299,,,,f,f,ΑΚΡΟΠΟΛΗ,Entire home/apt,4,1.0,2.0,60.0,2,1125,t,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,0.05,37.97232,23.72064,1.0,False,2299,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2300,within an hour,97.0,100.0,t,t,ΠΑΓΚΡΑΤΙ,Entire home/apt,8,4.0,5.0,101.0,2,60,t,100,99.0,10.0,10.0,10.0,10.0,10.0,10.0,t,2.71,37.97078,23.74415,2.5,False,2300,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2301,,,100.0,t,t,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,5,2.0,3.0,57.0,2,350,t,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,0.02,37.99255,23.73003,2.0,False,2301,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2302,,,,f,f,ΠΕΤΡΑΛΩΝΑ,Entire home/apt,3,1.0,2.0,49.0,1,123,t,27,98.0,10.0,10.0,10.0,10.0,10.0,9.0,t,0.65,37.96937,23.70842,1.0,False,2302,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2303,within an hour,100.0,100.0,f,f,ΚΟΛΩΝΑΚΙ,Entire home/apt,6,2.0,2.0,42.0,1,1125,t,12,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,0.3,37.97785,23.74042,1.5,False,2303,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2304,within an hour,100.0,100.0,f,t,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Private room,2,1.0,1.0,14.0,1,1125,t,81,94.0,10.0,9.0,10.0,10.0,9.0,10.0,t,2.0,37.99668,23.72511,1.5,True,2304,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2305,within an hour,100.0,100.0,f,t,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Private room,2,1.0,1.0,14.0,1,1125,t,108,94.0,9.0,9.0,10.0,10.0,9.0,9.0,t,2.67,37.9976,23.72654,1.5,True,2305,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2306,within an hour,100.0,100.0,f,t,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Private room,2,1.0,2.0,14.0,1,1125,t,113,94.0,10.0,9.0,10.0,10.0,9.0,10.0,t,2.79,37.99613,23.72441,1.5,True,2306,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2307,within an hour,100.0,100.0,f,t,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Private room,2,1.0,2.0,14.0,1,1125,t,154,95.0,10.0,9.0,9.0,10.0,9.0,10.0,t,3.81,37.99589,23.72463,1.5,True,2307,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2308,within an hour,91.0,100.0,t,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,6,3.0,2.0,290.0,2,1125,t,4,100.0,10.0,10.0,10.0,10.0,10.0,9.0,t,0.12,37.97559,23.72639,2.0,False,2308,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
